x_2018,y_2018,x_2019,y_2019,Fecha_2018,Fecha_2019,Real_2018,Prevista_2018,Programada_2018,Real_2019,Prevista_2019,Programada_2019,Mes,Dia,Temp_2018,Prec_2018,Prec_2019,Temp_2019
22,3,23,3,2018-02-16,2019-02-16,31758.0,31774.201388888887,31735.04166666667,27780.47916666667,27837.82638888889,27713.29166666667,2,16,11.894736842105265,3.0447368421052627,0.07105263157894737,11.207894736842103
23,3,24,3,2018-02-17,2019-02-17,28370.0,28365.909722222223,28257.83333333333,25865.63888888889,25952.85416666667,25799.33333333333,2,17,9.778947368421052,0.5921052631578948,1.3282051282051284,10.639473684210529
24,3,18,4,2018-02-18,2019-02-18,26560.0,26599.11111111111,26409.45833333333,30841.20833333333,30862.89583333333,30830.58333333333,2,18,8.742105263157894,1.8868421052631579,0.9131578947368422,9.941025641025641
18,4,19,4,2018-02-19,2019-02-19,31441.0,31507.31944444444,31251.83333333333,31093.013888888887,31314.076388888887,31301.625,2,19,10.028947368421052,3.5368421052631573,0.030769230769230774,9.710526315789473
19,4,20,4,2018-02-20,2019-02-20,31774.0,31764.784722222223,31652.875,31050.81944444444,31015.3125,31047.45833333333,2,20,10.278947368421052,1.4842105263157894,0.0,10.002564102564103
20,4,21,4,2018-02-21,2019-02-21,31947.0,31928.638888888887,31820.45833333333,31072.66666666667,31146.763888888887,30770.66666666667,2,21,8.021052631578945,0.4421052631578948,0.0,11.066666666666666
21,4,22,4,2018-02-22,2019-02-22,32541.0,32526.0,32367.5,30426.39583333333,30438.95833333333,30393.54166666667,2,22,5.807894736842104,0.1368421052631579,0.0,12.289743589743589
22,4,23,4,2018-02-23,2019-02-23,32785.0,32835.041666666664,32822.5,27166.44444444444,27147.68055555556,27048.04166666667,2,23,5.410526315789475,0.05526315789473685,0.0,11.825641025641026
23,4,24,4,2018-02-24,2019-02-24,29358.0,29367.152777777777,29249.16666666667,25083.89583333333,25164.01388888889,25068.41666666667,2,24,6.363157894736841,0.031578947368421054,0.0,12.382051282051279
24,4,18,5,2018-02-25,2019-02-25,27073.0,27102.47916666667,27029.41666666667,29686.31944444444,29707.222222222223,29728.875,2,25,8.155263157894737,0.6078947368421053,0.005128205128205128,12.47948717948718
18,5,19,5,2018-02-26,2019-02-26,32200.0,32212.93055555556,32101.20833333333,30067.22916666667,30072.152777777777,30020.54166666667,2,26,8.547368421052632,1.1342105263157893,0.0,12.78421052631579
19,5,20,5,2018-02-27,2019-02-27,33867.0,33927.743055555555,33791.166666666664,29979.91666666667,30031.986111111113,29942.625,2,27,6.173684210526314,6.905263157894738,0.007894736842105263,12.79230769230769
20,5,21,5,2018-02-28,2019-02-28,33342.0,33414.88888888888,33226.041666666664,29165.673611111113,29312.284722222223,29273.5,2,28,7.921052631578948,15.800000000000002,0.0,11.528947368421052
30,1,31,1,2018-03-01,2019-03-01,33099.0,33120.555555555555,32896.0,29508.472222222223,29612.152777777777,29531.04166666667,3,1,10.568421052631576,11.189473684210526,0.04615384615384615,11.756410256410257
31,1,32,1,2018-03-02,2019-03-02,32893.0,32861.256944444445,32720.625,26585.66666666667,26577.86111111111,26485.29166666667,3,2,9.402631578947368,11.36315789473684,0.0,12.935897435897438
32,1,33,1,2018-03-03,2019-03-03,28525.0,28542.19444444444,28367.45833333333,24561.50694444444,24561.659722222223,24459.04166666667,3,3,10.815384615384614,9.397435897435896,1.2820512820512822,13.379487179487178
33,1,27,2,2018-03-04,2019-03-04,26268.0,26255.534722222223,26159.375,28834.33333333333,28879.798611111113,28876.95833333333,3,4,10.533333333333335,6.435897435897434,0.13589743589743591,12.405128205128205
